city_code,city_name
MUM,Mumbai
DEL,Delhi
BLR,Bengaluru
HYD,Hyderabad
CHE,Chennai
KOL,Kolkata
PNQ,Pune
AMD,Ahmedabad
LKO,Lucknow
JAIP,Jaipur
