dist_code,dist_name
MUM,Mumbai
THA,Thane
PUN,Pune
NAS,Nashik
NAG,Nagpur
AUR,Aurangabad
SOL,Solapur
SAT,Satara
SAN,Sangli
KOL,Kolhapur
